,Finish,Start,Car #,Driver,Make,Pts,S1,S2,S3,Laps,Led,Status,Rating,Team,track,season
0,1,9,48.0,Jimmie Johnson,Chevrolet,47,,,,200,17,running,125.7,Hendrick Motorsports,Daytona,2013
1,2,19,88.0,Dale Earnhardt Jr.,Chevrolet,42,,,,200,0,running,105.7,Hendrick Motorsports,Daytona,2013
2,3,14,55.0,Mark Martin,Toyota,41,,,,200,0,running,95.5,Michael Waltrip Racing,Daytona,2013
3,4,15,2.0,Brad Keselowski,Ford,41,,,,200,13,running,97.3,Penske Racing,Daytona,2013
4,5,34,39.0,Ryan Newman,Chevrolet,40,,,,200,3,running,76.5,Stewart-Haas Racing,Daytona,2013
5,6,5,16.0,Greg Biffle,Ford,38,,,,200,0,running,106.6,Roush Fenway Racing,Daytona,2013
6,7,40,51.0,Regan Smith,Chevrolet,0,,,,200,1,running,80.9,Phoenix Racing,Daytona,2013
7,8,1,10.0,Danica Patrick,Chevrolet,37,,,,200,5,running,113.4,Stewart-Haas Racing,Daytona,2013
8,9,38,98.0,Michael McDowell,Ford,35,,,,200,0,running,70.3,Phil Parsons Racing,Daytona,2013
9,10,41,36.0,J.J. Yeley,Chevrolet,34,,,,200,0,running,59.0,Tommy Baldwin Racing,Daytona,2013
10,11,10,15.0,Clint Bowyer,Toyota,34,,,,200,1,running,104.0,Michael Waltrip Racing,Daytona,2013
11,12,28,17.0,Ricky Stenhouse Jr.,Ford,32,,,,200,0,running,80.4,Roush Fenway Racing,Daytona,2013
12,13,26,43.0,Aric Almirola,Ford,31,,,,200,0,running,78.0,Richard Petty Motorsports,Daytona,2013
13,14,35,11.0,Denny Hamlin,Toyota,31,,,,200,33,running,101.5,Joe Gibbs Racing,Daytona,2013
14,15,23,47.0,Bobby Labonte,Toyota,29,,,,200,0,running,78.0,JTG Daugherty Racing,Daytona,2013
15,16,42,83.0,David Reutimann,Toyota,28,,,,200,0,running,66.9,BK Racing,Daytona,2013
16,17,30,7.0,Dave Blaney,Chevrolet,27,,,,200,0,running,65.7,Tommy Baldwin Racing,Daytona,2013
17,18,24,9.0,Marcos Ambrose,Ford,26,,,,200,0,running,77.6,Richard Petty Motorsports,Daytona,2013
18,19,21,22.0,Joey Logano,Ford,26,,,,200,2,running,93.1,Penske Racing,Daytona,2013
19,20,2,24.0,Jeff Gordon,Chevrolet,25,,,,200,31,running,91.2,Hendrick Motorsports,Daytona,2013
20,21,16,27.0,Paul Menard,Chevrolet,24,,,,200,1,running,74.7,Richard Childress Racing,Daytona,2013
21,22,29,26.0,Michael Waltrip,Toyota,23,,,,200,4,running,55.2,Swan Racing,Daytona,2013
22,23,31,95.0,Scott Speed,Ford,22,,,,200,2,running,56.2,Leavine Family Racing,Daytona,2013
23,24,37,56.0,Martin Truex Jr.,Toyota,20,,,,200,0,running,73.9,Michael Waltrip Racing,Daytona,2013
24,25,43,93.0,Travis Kvapil,Toyota,20,,,,199,1,running,56.7,BK Racing,Daytona,2013
25,26,39,32.0,Terry Labonte,Ford,18,,,,199,0,running,40.4,FAS Lane Racing,Daytona,2013
26,27,33,21.0,Trevor Bayne,Ford,0,,,,198,0,running,38.7,Wood Brothers Racing,Daytona,2013
27,28,11,78.0,Kurt Busch,Chevrolet,16,,,,195,0,running,60.5,Furniture Row Racing,Daytona,2013
28,29,17,13.0,Casey Mears,Ford,15,,,,181,0,running,37.0,Germain Racing,Daytona,2013
29,30,18,31.0,Jeff Burton,Chevrolet,14,,,,176,0,accident,74.3,Richard Childress Racing,Daytona,2013
30,31,8,33.0,Austin Dillon,Chevrolet,0,,,,175,0,running,63.5,Richard Childress Racing,Daytona,2013
31,32,20,1.0,Jamie McMurray,Chevrolet,12,,,,161,0,running,32.2,Earnhardt Ganassi Racing,Daytona,2013
32,33,36,99.0,Carl Edwards,Ford,11,,,,159,0,running,51.1,Roush Fenway Racing,Daytona,2013
33,34,4,18.0,Kyle Busch,Toyota,10,,,,151,0,engine,87.5,Joe Gibbs Racing,Daytona,2013
34,35,22,34.0,David Ragan,Ford,9,,,,150,0,accident,42.8,Front Row Motorsports,Daytona,2013
35,36,6,5.0,Kasey Kahne,Chevrolet,8,,,,150,0,running,59.5,Hendrick Motorsports,Daytona,2013
36,37,12,20.0,Matt Kenseth,Toyota,9,,,,149,86,engine,104.7,Joe Gibbs Racing,Daytona,2013
37,38,25,38.0,David Gilliland,Ford,6,,,,144,0,accident,30.8,Front Row Motorsports,Daytona,2013
38,39,7,42.0,Juan Pablo Montoya,Chevrolet,5,,,,144,0,running,45.6,Earnhardt Ganassi Racing,Daytona,2013
39,40,32,35.0,Josh Wise,Ford,0,,,,137,0,accident,47.9,Front Row Motorsports,Daytona,2013
40,41,13,14.0,Tony Stewart,Chevrolet,3,,,,118,0,running,39.2,Stewart-Haas Racing,Daytona,2013
41,42,3,29.0,Kevin Harvick,Chevrolet,2,,,,47,0,accident,47.9,Richard Childress Racing,Daytona,2013
42,43,27,87.0,Joe Nemechek,Toyota,0,,,,42,0,engine,23.3,NEMCO Motorsports,Daytona,2013
0,1,15,99.0,Carl Edwards,Ford,48,,,,316,122,running,136.5,Roush Fenway Racing,Phoenix,2013
1,2,3,48.0,Jimmie Johnson,Chevrolet,43,,,,316,1,running,126.9,Hendrick Motorsports,Phoenix,2013
2,3,8,11.0,Denny Hamlin,Toyota,41,,,,316,0,running,98.7,Joe Gibbs Racing,Phoenix,2013
3,4,11,2.0,Brad Keselowski,Ford,41,,,,316,16,running,115.8,Penske Racing,Phoenix,2013
4,5,21,88.0,Dale Earnhardt Jr.,Chevrolet,40,,,,316,47,running,107.9,Hendrick Motorsports,Phoenix,2013
5,6,13,15.0,Clint Bowyer,Toyota,38,,,,316,0,running,101.0,Michael Waltrip Racing,Phoenix,2013
6,7,9,20.0,Matt Kenseth,Toyota,37,,,,316,0,running,111.1,Joe Gibbs Racing,Phoenix,2013
7,8,6,14.0,Tony Stewart,Chevrolet,36,,,,316,0,running,103.2,Stewart-Haas Racing,Phoenix,2013
8,9,5,24.0,Jeff Gordon,Chevrolet,35,,,,316,0,running,98.2,Hendrick Motorsports,Phoenix,2013
9,10,20,31.0,Jeff Burton,Chevrolet,34,,,,316,0,running,87.5,Richard Childress Racing,Phoenix,2013
10,11,23,51.0,A.J. Allmendinger,Chevrolet,33,,,,316,0,running,71.7,Phoenix Racing,Phoenix,2013
11,12,29,42.0,Juan Pablo Montoya,Chevrolet,33,,,,316,12,running,80.5,Earnhardt Ganassi Racing,Phoenix,2013
12,13,7,29.0,Kevin Harvick,Chevrolet,31,,,,316,0,running,108.4,Richard Childress Racing,Phoenix,2013
