,Finish,Start,Car #,Make
0,1,9,48.0,Chevrolet
1,2,19,88.0,Chevrolet
2,3,14,55.0,Toyota
3,4,15,2.0,Ford
4,5,34,39.0,Chevrolet
5,6,5,16.0,Ford
6,7,40,51.0,Chevrolet
7,8,1,10.0,Chevrolet
8,9,38,98.0,Ford
9,10,41,36.0,Chevrolet
10,11,10,15.0,Toyota
11,12,28,17.0,Ford
12,13,26,43.0,Ford
13,14,35,11.0,Toyota
14,15,23,47.0,Toyota
15,16,42,83.0,Toyota
16,17,30,7.0,Chevrolet
17,18,24,9.0,Ford
18,19,21,22.0,Ford
19,20,2,24.0,Chevrolet
20,21,16,27.0,Chevrolet
21,22,29,26.0,Toyota
22,23,31,95.0,Ford
23,24,37,56.0,Toyota
24,25,43,93.0,Toyota
25,26,39,32.0,Ford
26,27,33,21.0,Ford
27,28,11,78.0,Chevrolet
28,29,17,13.0,Ford
29,30,18,31.0,Chevrolet
30,31,8,33.0,Chevrolet
31,32,20,1.0,Chevrolet
32,33,36,99.0,Ford
33,34,4,18.0,Toyota
34,35,22,34.0,Ford
35,36,6,5.0,Chevrolet
36,37,12,20.0,Toyota
37,38,25,38.0,Ford
38,39,7,42.0,Chevrolet
39,40,32,35.0,Ford
40,41,13,14.0,Chevrolet
41,42,3,29.0,Chevrolet
42,43,27,87.0,Toyota
44,1,15,99.0,Ford
45,2,3,48.0,Chevrolet
46,3,8,11.0,Toyota
47,4,11,2.0,Ford
48,5,21,88.0,Chevrolet
49,6,13,15.0,Toyota
50,7,9,20.0,Toyota
51,8,6,14.0,Chevrolet
52,9,5,24.0,Chevrolet
53,10,20,31.0,Chevrolet
54,11,23,51.0,Chevrolet
55,12,29,42.0,Chevrolet
56,13,7,29.0,Chevrolet
57,14,43,13.0,Ford
58,15,18,43.0,Ford
59,16,12,17.0,Ford
60,17,17,16.0,Ford
61,18,22,9.0,Ford
62,19,2,5.0,Chevrolet
63,20,16,27.0,Chevrolet
64,21,1,55.0,Toyota
65,22,19,1.0,Chevrolet
66,23,4,18.0,Toyota
67,24,33,47.0,Toyota
68,25,34,83.0,Toyota
69,26,32,22.0,Ford
70,27,25,78.0,Chevrolet
71,28,27,36.0,Chevrolet
72,29,30,93.0,Toyota
73,30,37,30.0,Toyota
74,31,41,87.0,Toyota
75,32,38,33.0,Chevrolet
76,33,26,7.0,Chevrolet
77,34,42,32.0,Ford
78,35,36,35.0,Ford
79,36,14,56.0,Toyota
80,37,31,38.0,Ford
81,38,24,34.0,Ford
82,39,40,10.0,Chevrolet
83,40,10,39.0,Chevrolet
84,41,28,95.0,Ford
85,42,35,19.0,Toyota
86,43,39,44.0,Ford
88,1,18,20.0,Toyota
89,2,4,5.0,Chevrolet
90,3,1,2.0,Ford
91,4,13,18.0,Toyota
92,5,16,99.0,Ford
93,6,3,48.0,Chevrolet
94,7,12,88.0,Chevrolet
95,8,11,56.0,Toyota
96,9,8,29.0,Chevrolet
97,10,17,27.0,Chevrolet
98,11,9,14.0,Chevrolet
99,12,21,22.0,Ford
100,13,23,1.0,Chevrolet
101,14,15,55.0,Toyota
102,15,6,11.0,Toyota
103,16,22,43.0,Ford
104,17,5,16.0,Ford
105,18,7,17.0,Ford
106,19,25,42.0,Chevrolet
107,20,24,78.0,Chevrolet
108,21,27,51.0,Chevrolet
109,22,19,9.0,Ford
110,23,36,21.0,Ford
111,24,33,7.0,Chevrolet
112,25,10,24.0,Chevrolet
113,26,20,31.0,Chevrolet
114,27,2,15.0,Toyota
115,28,31,38.0,Ford
116,29,30,13.0,Ford
117,30,26,47.0,Toyota
118,31,29,34.0,Ford
119,32,38,30.0,Toyota
120,33,37,10.0,Chevrolet
121,34,32,83.0,Toyota
122,35,43,35.0,Ford
123,36,35,36.0,Chevrolet
124,37,34,32.0,Ford
125,38,14,39.0,Chevrolet
126,39,28,93.0,Toyota
127,40,42,87.0,Toyota
128,41,40,95.0,Ford
129,42,41,33.0,Chevrolet
130,43,39,98.0,Ford
132,1,2,5.0,Chevrolet
133,2,1,18.0,Toyota
134,3,7,2.0,Ford
135,4,19,78.0,Chevrolet
136,5,23,15.0,Toyota
137,6,32,88.0,Chevrolet
138,7,31,39.0,Chevrolet
139,8,4,55.0,Toyota
140,9,5,27.0,Chevrolet
141,10,6,1.0,Chevrolet
142,11,24,16.0,Ford
143,12,9,56.0,Toyota
144,13,29,51.0,Chevrolet
145,14,18,29.0,Chevrolet
146,15,15,13.0,Ford
147,16,28,17.0,Ford
148,17,10,22.0,Ford
149,18,21,99.0,Ford
150,19,22,9.0,Ford
151,20,26,30.0,Toyota
152,21,30,34.0,Ford
153,22,13,48.0,Chevrolet
154,23,3,11.0,Toyota
155,24,14,38.0,Ford
156,25,43,32.0,Ford
157,26,40,35.0,Ford
158,27,35,36.0,Chevrolet
159,28,41,10.0,Chevrolet
160,29,38,87.0,Toyota
161,30,17,42.0,Chevrolet
162,31,8,14.0,Chevrolet
163,32,16,31.0,Chevrolet
164,33,42,33.0,Chevrolet
165,34,11,24.0,Chevrolet
166,35,12,20.0,Toyota
167,36,33,7.0,Chevrolet
168,37,20,43.0,Ford
169,38,37,93.0,Toyota
170,39,25,83.0,Toyota
171,40,27,95.0,Ford
172,41,39,47.0,Toyota
173,42,34,98.0,Ford
174,43,36,19.0,Toyota
176,1,4,18.0,Toyota
177,2,15,88.0,Chevrolet
178,3,6,22.0,Ford
179,4,24,99.0,Ford
180,5,10,78.0,Chevrolet
181,6,2,16.0,Ford
182,7,5,20.0,Toyota
183,8,27,27.0,Chevrolet
184,9,16,5.0,Chevrolet
185,10,20,39.0,Chevrolet
186,11,19,24.0,Chevrolet
187,12,18,48.0,Chevrolet
188,13,14,29.0,Chevrolet
189,14,23,43.0,Ford
190,15,11,13.0,Ford
191,16,26,51.0,Chevrolet
192,17,22,31.0,Chevrolet
193,18,7,56.0,Toyota
194,19,17,1.0,Chevrolet
195,20,31,17.0,Ford
196,21,29,7.0,Chevrolet
197,22,8,14.0,Chevrolet
198,23,3,2.0,Ford
199,24,42,34.0,Ford
200,25,1,11.0,Toyota
201,26,40,10.0,Chevrolet
202,27,37,36.0,Chevrolet
203,28,25,47.0,Toyota
204,29,34,38.0,Ford
205,30,36,33.0,Chevrolet
206,31,32,30.0,Toyota
207,32,43,87.0,Toyota
208,33,28,83.0,Toyota
209,34,33,93.0,Toyota
210,35,13,15.0,Toyota
211,36,21,9.0,Ford
212,37,9,55.0,Toyota
213,38,12,42.0,Chevrolet
214,39,39,32.0,Ford
215,40,30,35.0,Ford
216,41,38,44.0,Ford
217,42,35,98.0,Ford
218,43,41,19.0,Toyota
220,1,1,48.0,Chevrolet
221,2,15,15.0,Toyota
222,3,6,24.0,Chevrolet
223,4,5,5.0,Chevrolet
224,5,11,18.0,Toyota
225,6,7,2.0,Ford
226,7,13,1.0,Chevrolet
227,8,2,9.0,Ford
228,9,22,16.0,Ford
229,10,35,11.0,Toyota
230,11,3,55.0,Toyota
231,12,32,10.0,Chevrolet
232,13,21,29.0,Chevrolet
233,14,8,20.0,Toyota
234,15,9,99.0,Ford
235,16,41,13.0,Ford
236,17,26,14.0,Chevrolet
237,18,29,31.0,Chevrolet
238,19,16,27.0,Chevrolet
239,20,34,43.0,Ford
240,21,31,47.0,Toyota
241,22,18,51.0,Chevrolet
242,23,4,22.0,Ford
243,24,17,88.0,Chevrolet
244,25,20,17.0,Ford
245,26,14,42.0,Chevrolet
246,27,37,36.0,Chevrolet
247,28,30,38.0,Ford
248,29,39,7.0,Chevrolet
249,30,23,34.0,Ford
250,31,10,39.0,Chevrolet
251,32,36,32.0,Ford
252,33,33,33.0,Chevrolet
253,34,43,87.0,Toyota
254,35,42,35.0,Ford
255,36,24,30.0,Toyota
256,37,19,78.0,Chevrolet
257,38,40,83.0,Toyota
258,39,25,93.0,Toyota
259,40,12,56.0,Toyota
260,41,28,95.0,Ford
261,42,38,44.0,Ford
262,43,27,98.0,Ford
264,1,1,18.0,Toyota
265,2,5,56.0,Toyota
266,3,9,99.0,Ford
267,4,35,16.0,Ford
268,5,18,22.0,Ford
269,6,7,48.0,Chevrolet
270,7,3,43.0,Ford
271,8,15,11.0,Toyota
272,9,16,2.0,Ford
273,10,31,39.0,Chevrolet
274,11,14,5.0,Chevrolet
275,12,20,20.0,Toyota
276,13,29,29.0,Chevrolet
277,14,23,55.0,Toyota
278,15,26,15.0,Toyota
279,16,11,1.0,Chevrolet
280,17,19,27.0,Chevrolet
281,18,22,21.0,Ford
282,19,4,9.0,Ford
283,20,10,42.0,Chevrolet
284,21,13,14.0,Chevrolet
285,22,32,93.0,Toyota
286,23,21,31.0,Chevrolet
287,24,38,83.0,Toyota
288,25,28,7.0,Chevrolet
289,26,25,34.0,Ford
290,27,33,30.0,Toyota
291,28,42,10.0,Chevrolet
292,29,6,88.0,Chevrolet
293,30,40,35.0,Ford
294,31,24,13.0,Ford
295,32,27,38.0,Ford
296,33,12,51.0,Chevrolet
297,34,39,33.0,Chevrolet
298,35,41,87.0,Toyota
299,36,43,32.0,Ford
300,37,2,78.0,Chevrolet
301,38,8,24.0,Chevrolet
302,39,36,36.0,Chevrolet
303,40,17,17.0,Ford
304,41,34,19.0,Toyota
305,42,30,47.0,Toyota
306,43,37,98.0,Ford
308,1,1,20.0,Toyota
309,2,27,5.0,Chevrolet
310,3,21,48.0,Chevrolet
311,4,7,56.0,Toyota
312,5,10,15.0,Toyota
313,6,33,2.0,Ford
314,7,14,1.0,Chevrolet
315,8,6,43.0,Ford
316,9,8,55.0,Toyota
317,10,12,27.0,Chevrolet
318,11,3,17.0,Ford
319,12,17,29.0,Chevrolet
320,13,43,24.0,Chevrolet
321,14,9,39.0,Chevrolet
322,15,13,78.0,Chevrolet
323,16,23,88.0,Chevrolet
324,17,2,99.0,Ford
325,18,20,31.0,Chevrolet
326,19,11,16.0,Ford
327,20,15,9.0,Ford
328,21,18,14.0,Chevrolet
329,22,41,51.0,Chevrolet
330,23,28,38.0,Ford
331,24,34,47.0,Toyota
332,25,25,10.0,Chevrolet
333,26,36,35.0,Ford
334,27,19,42.0,Chevrolet
335,28,31,83.0,Toyota
336,29,39,33.0,Chevrolet
337,30,26,34.0,Ford
338,31,16,11.0,Toyota
339,32,38,30.0,Toyota
340,33,37,32.0,Ford
341,34,30,13.0,Ford
342,35,40,36.0,Chevrolet
343,36,32,93.0,Toyota
344,37,4,12.0,Ford
345,38,5,18.0,Toyota
346,39,22,22.0,Ford
347,40,24,81.0,Toyota
348,41,35,19.0,Toyota
349,42,29,98.0,Ford
350,43,42,7.0,Chevrolet
352,1,17,29.0,Chevrolet
353,2,5,15.0,Toyota
354,3,7,22.0,Ford
355,4,6,42.0,Chevrolet
356,5,16,31.0,Chevrolet
357,6,28,99.0,Ford
358,7,1,20.0,Toyota
359,8,34,43.0,Ford
360,9,14,78.0,Chevrolet
361,10,19,88.0,Chevrolet
362,11,3,24.0,Chevrolet
363,12,26,48.0,Chevrolet
364,13,29,27.0,Chevrolet
365,14,24,51.0,Chevrolet
366,15,15,39.0,Chevrolet
367,16,12,17.0,Ford
368,17,9,56.0,Toyota
369,18,21,14.0,Chevrolet
370,19,32,47.0,Toyota
371,20,20,34.0,Ford
372,21,4,5.0,Chevrolet
373,22,22,83.0,Toyota
374,23,18,7.0,Chevrolet
375,24,8,18.0,Toyota
376,25,31,33.0,Chevrolet
377,26,13,1.0,Chevrolet
378,27,37,38.0,Ford
379,28,27,35.0,Ford
380,29,30,10.0,Chevrolet
381,30,40,13.0,Ford
382,31,25,30.0,Toyota
383,32,39,36.0,Chevrolet
384,33,23,2.0,Ford
385,34,42,32.0,Ford
386,35,2,11.0,Toyota
387,36,33,16.0,Ford
388,37,36,93.0,Toyota
389,38,10,55.0,Toyota
390,39,41,87.0,Toyota
391,40,43,52.0,Toyota
392,41,35,98.0,Ford
393,42,11,9.0,Ford
394,43,38,19.0,Toyota
396,1,19,34.0,Ford
397,2,31,38.0,Ford
398,3,1,99.0,Ford
399,4,14,55.0,Toyota
400,5,8,48.0,Chevrolet
401,6,34,51.0,Chevrolet
402,7,2,56.0,Toyota
403,8,6,20.0,Toyota
404,9,36,95.0,Ford
405,10,18,43.0,Ford
406,11,9,24.0,Chevrolet
407,12,27,30.0,Toyota
408,13,21,17.0,Ford
409,14,3,9.0,Ford
410,15,11,2.0,Ford
411,16,40,7.0,Chevrolet
412,17,12,88.0,Chevrolet
413,18,20,15.0,Toyota
414,19,26,35.0,Ford
415,20,39,47.0,Toyota
416,21,38,98.0,Ford
417,22,42,33.0,Chevrolet
418,23,28,1.0,Chevrolet
419,24,22,13.0,Ford
420,25,30,42.0,Chevrolet
421,26,16,27.0,Chevrolet
422,27,25,14.0,Chevrolet
423,28,29,31.0,Chevrolet
